category,text,split
Business,"Kroger's Profit Up; Price Cuts Weigh.  NEW YORK (Reuters) - Kroger Co., the top U.S. grocer, on  Tuesday posted a 29 percent rise in quarterly profit due to  cost controls, but price cuts to lure shoppers caused earnings  to miss Wall Street estimates and shares fell.",train
Business,Goldman Sachs Enters Fray for Takefuji. Goldman Sachs Group Inc. may be in talks with the founding family of top Japanese consumer finance firm Takefuji Corp. for a stake of over \$2.,train
Business,"Finance: Losing the Right to Sue.  WASHINGTON (Reuters) - More and more businesses are  sticking mandatory arbitration clauses into their contracts,  forcing consumers to give up their right to sue if they want to  conduct business, and consumer groups have made the elimination  of these clauses a top priority.",train
Business,"Aussies battle EU over cheese, champagne. AP - The United States and Australia have prevailed in an interim ruling by World Trade Organisation (WTO) in a dispute over the protection given by the European Union to its regional goods such as Champagne wine and Feta cheese, trade officials said.",train
Business,EU foreign ministers hope to break deadlock over ASEM summit. The European Union said Friday it  quot;hoped to reach a conclusion quot; at a meeting of foreign ministers on the participation of military-ruled Myanmar in an upcoming summit of Asian and European nations.,train
Business,Ofcom clampdown on BT. ELECOMS watchdog Ofcom today ordered BT to open up its modern services such as broadband to all its competitors at the same price it charges its own retail business within a matter of months.,train
Business,"Venezuela Minister Opposes Increase in OPEC Production Quotas. Venezuela, OPEC #39;s third-largest oil producer, said the group shouldn #39;t raise its output targets at this week #39;s meeting in Vienna.",train
Business,"Retail, auto sales, job numbers suggest tougher times. CHICAGO (CBS.MW) -- Could it be that people are just tired of buying things on the cheap at Wal-Mart? Free! Sign up here to receive our Weekly Roundup e-Newsletter!",train
Business,Blue Chips End Lower After Oil Hits \$49. US blue-chip stocks declined to the lowest level in more than a month on Thursday as crude oil prices touched \$49 a barrel and renewed concerns that high fuel costs will erode corporate profits.,train
Business,"Agilent Guides Sharply Lower. Agilent #39;s (A:NYSE - news - research) fiscal fourth quarter came up light, and the company slashed first-quarter guidance. Blaming a weak chip business, the Palo Alto, Calif.",train
Business,Stewart case ink expert found not guilty of lying. An ink expert who testified for the government at the Martha Stewart trial was found not guilty yesterday of lying on the witness stand.,train
Business,"US delays WTO action over Airbus subsidy. The US will offer an olive branch to Peter Mandelson, the European Union #39;s new trade commissioner, next week by delaying any escalation of the dispute over subsidies to Airbus and Boeing, a US trade official said on Thursday.",train
Business,Ryanair agrees to repay 4M in an escrow account for the Walloon &lt;b&gt;...&lt;/b&gt;. vueling writes  quot;Ryanair confirmed it had written to the Walloon authorities and agreed to repay 4M in an escrow account until Ryanairs appeal is heard and the European Courts make a definitive decision on this matter.,train
Business,Japanese Bank Makes Hostile Bid in Takeover Battle. The biggest-ever takeover battle in Japan got even bigger today as Sumitomo Mitsui sought to disrupt a rival's expansion plans with a \$29 billion hostile bid for UFJ.,train
